disease	county	onset_date	number_of_cases
发热伴	东平县	2021-08-06	1
发热伴	东平县	2022-05-30	1
发热伴	东平县	2023-05-06	1
发热伴	东平县	2023-06-07	1
发热伴	东昌府区	2023-06-22	1
发热伴	东港区	2020-07-12	1
发热伴	东港区	2020-08-03	2
发热伴	东港区	2021-05-26	1
发热伴	东港区	2021-06-10	1
发热伴	东港区	2021-06-11	1
发热伴	东港区	2021-06-24	1
发热伴	东港区	2021-07-05	1
发热伴	东港区	2021-07-17	1
发热伴	东港区	2021-08-03	1
发热伴	东港区	2021-08-07	1
发热伴	东港区	2021-09-11	1
发热伴	东港区	2021-09-23	1
发热伴	东港区	2021-10-10	1
发热伴	东港区	2021-10-19	1
发热伴	东港区	2022-04-06	1
发热伴	东港区	2022-06-02	1
发热伴	东港区	2022-07-02	1
发热伴	东港区	2022-07-07	1
发热伴	东港区	2022-07-16	1
发热伴	东港区	2022-08-02	1
发热伴	东港区	2022-10-14	1
发热伴	东港区	2023-05-07	1
发热伴	东港区	2023-05-18	2
发热伴	东港区	2023-05-20	1
发热伴	东港区	2023-05-23	1
发热伴	东港区	2023-05-25	1
发热伴	东港区	2023-06-01	1
发热伴	东港区	2023-06-06	2
发热伴	东港区	2023-06-07	1
发热伴	东港区	2023-06-09	1
发热伴	东港区	2023-06-16	1
发热伴	东港区	2023-07-02	1
发热伴	东港区	2023-07-12	1
发热伴	东港区	2023-07-16	1
发热伴	东港区	2023-07-20	1
发热伴	东港区	2023-07-24	1
发热伴	东港区	2023-08-17	1
发热伴	东港区	2023-08-24	1
发热伴	东港区	2023-08-26	1
发热伴	东港区	2023-09-01	1
发热伴	东港区	2024-04-07	1
发热伴	东港区	2024-05-14	1
发热伴	东港区	2024-05-15	1
发热伴	东港区	2024-05-17	1
发热伴	东港区	2024-05-21	1
发热伴	东港区	2024-05-26	2
发热伴	东港区	2024-06-04	1
发热伴	东港区	2024-06-05	1
发热伴	东港区	2024-06-07	1
发热伴	东港区	2024-06-10	1
发热伴	东港区	2024-07-09	1
发热伴	东港区	2024-07-15	1
发热伴	东港区	2024-07-20	1
发热伴	东港区	2024-07-22	1
发热伴	东港区	2024-08-03	1
发热伴	东港区	2024-08-04	1
发热伴	东港区	2024-08-13	1
发热伴	东港区	2024-08-15	1
发热伴	东港区	2024-08-16	1
发热伴	东港区	2024-08-24	1
发热伴	东港区	2024-08-25	1
发热伴	东港区	2024-09-06	1
发热伴	东港区	2024-09-21	1
发热伴	东港区	2024-09-27	1
发热伴	东港区	2024-10-09	1
